date,equipment_id,risk_level,detected_symptoms,root_cause,action_taken,downtime_hours,parts_replaced
2024-03-12,Pump-01,Warning,vibration_increase,bearing_wear_minor,re_lubricate,0,none
2024-05-04,Pump-03,Warning,sound_increase,bolt_loosening,re_torque,0,none
2024-07-21,Pump-03,Critical,vibration_temp_increase,bearing_wear_severe,bearing_replace,6,BRG-P03-6205ZZ
2024-09-08,Motor-02,Warning,current_increase,overload_temporary,monitoring,0,none
2024-11-15,Pump-01,Critical,vibration_impact,bearing_damage,bearing_replace,8,BRG-P01-6205ZZ
2025-01-22,Pump-03,Normal,routine_check,none,none,0,none
2025-02-14,Compressor-05,Warning,temperature_drift,heat_exchanger_fouling,heat_exchanger_clean,1,FILT-C05-OIL
2025-04-03,Fan-04,Warning,vibration_increase,belt_wear,belt_replace,2,BELT-F04-A52
2025-06-19,Compressor-05,Critical,pressure_drop,intake_valve_stuck,valve_replace,4,VLV-C05-IN-A
2025-08-17,Pump-03,Warning,temperature_drift,lubrication_low,re_lubricate,0,none
2025-10-02,Fan-04,Critical,sound_increase,belt_snap,belt_replace_and_realign,3,BELT-F04-A52
2025-12-05,Motor-02,Warning,bearing_band_increase,bearing_wear_minor,re_lubricate,0,none
2026-01-28,Pump-01,Warning,sound_change,seal_aging,seal_replace,2,SEAL-P01-OR-A
2026-02-09,Pump-03,Warning,sound_change,bolt_loosening,re_torque,0,none
2026-03-04,Compressor-05,Warning,sound_increase,belt_slip,belt_retension,0,none
2026-04-25,Motor-02,Critical,vibration_temp_increase,bearing_wear_severe,bearing_replace,7,BRG-M02-6206ZZ
2026-05-12,Fan-04,Warning,vibration_increase,balance_drift,re_balance,1,none
